4	4	39343965	39558190
10	10	1142186	1054898
3	2	142098924	202940289
12	12	58240155	58329336
8	X	120255750	14407723
5	5	175859622	175875471
10	10	1142186	1054898
3	2	142098924	202940289
3	2	142098924	202979782
19	19	12721896	12767501
12	12	58240155	58329336
14	14	102901548	103554422
12	12	120615250	120779258
15	15	89444782	89430576
8	X	120255750	14407723
5	5	175859622	175875471
4	4	39343965	39558190
10	10	1142186	1054898
3	2	142098924	202940289
19	19	12721896	12767501
12	12	58240155	58329336
14	14	102901548	103554422
12	12	120615250	120779258
11	1	2017886	569362
11	11	2861670	2924721
8	X	120255750	14407723
5	5	175859622	175875471
4	4	39343965	39558190
3	2	142098924	202940289
20	21	48263502	48105839
14	14	102901548	103554422
11	1	2017886	569362
5	5	175859622	175875471
10	10	1142186	1054898
3	2	142098924	202940289
3	2	142098924	202979782
12	12	58240155	58329336
12	12	120615250	120779258
11	1	2017886	569362
1	1	222087104	222013795
8	X	120255750	14407723
10	10	1142186	1054898
3	2	142098924	202940289
12	12	58240155	58329336
14	14	102901548	103554422
12	12	120615250	120779258
1	1	222087104	222013795
8	X	120255750	14407723
5	5	175859622	175875471
4	4	39343965	39558190
10	10	1142186	1054898
3	2	142098924	202940289
12	12	58240155	58329336
14	14	102901548	103554422
15	15	89444782	89430576
11	1	2017886	569362
1	1	222087104	222013795
8	X	120255750	14407723
5	5	175859622	175875471
10	10	1142186	1054898
3	2	142098924	202940289
3	2	142098924	202979782
12	12	58240155	58329336
12	12	120615250	120779258
15	15	89444782	89430576
1	1	222087104	222013795
8	X	120255750	14407723
5	5	175859622	175875471
1	1	222087104	222013795
3	3	9871079	9739395
10	10	1142186	1054898
19	19	12721896	12763274
11	5	460286	33229863
11	11	2924719	2861672
3	2	142098924	202940289
12	12	58240155	58329336
8	X	120255750	14407723
11	11	18624706	18610543
5	5	175859622	175875471
2	2	231772861	231746118
8	8	142011224	142458188
4	4	110635564	110682848
4	4	39343965	39558190
3	3	9871079	9739395
10	10	1142186	1054898
3	2	142098924	202940289
12	12	58240155	58329336
22	22	43564780	43564165
8	X	120255750	14407723
11	11	18624706	18610543
5	5	175859622	175875471
8	8	142011224	142458188
19	19	23945935	23940434
4	4	39343965	39558190
3	3	9871079	9739395
19	19	12721896	12763274
3	2	142098924	202940289
11	11	18624706	18610543
5	5	175859622	175875471
8	8	142011224	142458188
19	19	23945935	23940434
3	3	9871079	9739395
10	10	1142186	1054898
11	5	460286	33229863
3	2	142098924	202940289
12	12	58240155	58329336
8	X	120255750	14407723
8	8	142011224	142458188
19	19	23945935	23940434
8	8	98837381	98698896
10	10	1142186	1054898
19	19	12721896	12763274
11	11	2924719	2861672
3	2	142098924	202940289
12	12	58240155	58329336
8	X	120255750	14407723
11	11	18624706	18610543
5	5	175859622	175875471
2	2	231772861	231746118
19	19	23945935	23940434
8	8	98837381	98698896
4	4	39343965	39558190
10	10	1142186	1054898
19	19	12721896	12763274
3	2	142098924	202940289
12	12	58240155	58329336
8	X	120255750	14407723
11	11	18624706	18610543
5	5	175859622	175875471
8	8	98837381	98698896
10	10	1142186	1054898
19	19	12721896	12763274
MT	MT	7107	1671
3	2	142098924	202940289
