Group 1: 1	2	9	10	11	12	13	14	15	

1	1	222001007	222054322	
5	5	175819649	175875385	
15	15	89420525	89442528	
12	12	58220161	58335323	<--- 9 samples have the same event.
2	3	202978348	142137260	
1	11	639064	2016407	
12	12	120593151	120784024	
16	16	4800814	4827614	
4	4	39291175	39553229	
8	8	141668503	142443928	
2	2	171627623	171640295	
2	3	202937977	142137260	<--- 9 samples have the same event.
10	10	1034654	1169746	
11	11	2798804	2930502	
8	23	120220187	14547419	
20	21	48249481	48110794	
14	14	102829397	103568713	

Group 2: 3	4	16	17	18	19	20	21	22	

1	17	150705313	79008946	
19	19	14164178	14181209	
1	17	150705313	79008946	
16	16	436662	448409	
16	16	29086339	58783541	
1	17	150705313	79008946	
1	1	153634540	153657436	
2	2	171627622	171627623	
4	11	170541721	89016934	
12	12	66909409	67285655	
1	4	207495031	28383118	

Group 3: 5	6	23	24	25	26	27	28	29	

6	14	112507951	102550232	
20	20	56964421	57269476	
1	6	10342507	156267930	
19	19	35978225	35991346	
17	17	73126323	73131380	
19	19	727785	751145	
6	9	127997132	128001048	
5	5	1544221	1544222	
6	9	76630831	128001048	
6	9	127997132	128001048	
22	22	22006558	22055153	
11	11	18552747	18624533	
1	2	114201837	10918613	

Group 4: 7	8	30	31	32	33	34	35	36	

2	2	238031552	238933979	
13	13	23429411	113301357	
4	8	8201097	145505446	
0	0	5904	14149	
2	2	97525478	97589305	
1	1	36546711	36690033	
1	3	121261142	124950919	
12	12	56676210	57033975	
1	17	565020	48265252	
1	17	565020	48265252	
1	1	206135292	206626690	
8	8	139600478	140744335	
4	8	8437867	106838797	
1	22	143399411	38302888	
17	17	61021575	61086897	
5	17	99382082	48265252	
1	11	77557886	6239034	
4	4	843065	3517608	
4	4	1193714	5205805	
17	17	36957977	37026313	
20	20	60900195	60985292	
8	8	107277662	141668503	
8	9	43033261	114312001	
2	2	238031552	238933979	
1	2	21754803	129338064	
9	9	36307038	36356336	

